book_num,question,c_answer,f_answer1,f_answer2,f_answer3
1,Q1,답1,답2,답3,답4
1,Q2,답1,답2,답3,답4
1,Q3,답1,답2,답3,답4
1,Q4,답1,답2,답3,답4
1,Q5,답1,답2,답3,답4
2,"칸토어가 "____" 을 처음 발표할 때 수학계의 거센 반론을 받았다.",집합론,밴다이어그램,조건제시법,상대성이론
2,"칸토어의 국적은 "____"이다.",독일,러시아,프랑스,덴마크
2,"다음 중 집합이 될 수 없는 경우는?","귀여운 동물들의 집합","이름이 세 글자인 동물들의 집합","조류의 집합","물 속에 사는 동물들의 집합"
2,"C={1,2,3}의 부분잡합의 개수는?",8개,6개,9개,7개
2,"다음 중 설명이 올바르지 않은 것은?","공집합 = 0만을 원소로 가지는 집합","무한집합 = 원소의 개수가 무한한 집합","합집합 AUB = 집합 A에 속하거나 집합 B에 속하는 모든 원소의 집합","차집합 A-B = 집합 A에는 속하지만 집합 B에는 속하지 않는 모든 원소의 집합"
